time,ax,ay,az
84580,-4.921858451365086,0.1393979840036638,-0.0
84590,-4.923365794548843,0.10256830221753585,-0.0
84600,-4.924584865089948,0.06571923675475398,-0.0
84610,-4.925515381684102,0.02885322846959872,-0.0
84620,-4.926157086391815,-0.008027277378101947,-0.0
84630,-4.926509744712089,-0.044919831384960786,-0.0
84640,-4.926573145652697,-0.08182198026733811,-0.0
84650,-4.926347101796904,-0.11873126712591449,-0.0
84660,-4.925831449366742,-0.15564523171147637,-0.0
84670,-4.925026048282648,-0.19256141069185786,-0.0
84680,-4.9239307822196405,-0.22947733791998806,-0.0
84690,-4.922545558659828,-0.26639054470298457,-0.0
84700,-4.920870308941358,-0.3032985600722401,-0.0
84710,-4.918904988303698,-0.34019891105444433,-0.0
84720,-4.916649575929337,-0.3770891229434883,-0.0
84730,-4.914104074981732,-0.4139667195731868,-0.0
84740,-4.911268512639661,-0.4508292235907711,-0.0
84750,-4.908142940127822,-0.4876741567310858,-0.0
84760,-4.904727432743738,-0.5244990400914371,-0.0
84770,-4.901022089880959,-0.5613013944070331,-0.0
84780,-4.897027035048489,-0.5980787403269547,-0.0
84790,-4.89274241588649,-0.6348285986906018,-0.0
84800,-4.888168404178214,-0.6715484908045534,-0.0
84810,-4.8833051958581875,-0.7082359387197852,-0.0
84820,-4.878153011016573,-0.7448884655091773,-0.0
84830,-4.872712093899808,-0.7815035955452652,-0.0
84840,-4.866982712907395,-0.8180788547781582,-0.0
84850,-4.860965160584933,-0.8546117710135812,-0.0
84860,-4.854659753613328,-0.8910998741909641,-0.0
84870,-4.848066832794215,-0.9275406966615335,-0.0
84880,-4.841186763031564,-0.9639317734663313,-0.0
84890,-4.834019933309478,-1.0002706426141117,-0.0
84900,-4.826566756666209,-1.0365548453590527,-0.0
84910,-4.818827670164318,-1.07278192647821,-0.0
84920,-4.8108031348571,-1.1089494345486786,-0.0
84930,-4.802493635751158,-1.1450549222243704,-0.0
84940,-4.793899681765204,-1.1810959465123718,-0.0
84950,-4.785021805685064,-1.2170700690488048,-0.0
84960,-4.775860564114913,-1.2529748563741432,-0.0
84970,-4.766416537424728,-1.2888078802079153,-0.0
84980,-4.756690329693977,-1.3245667177227354,-0.0
84990,-4.746682568651554,-1.3602489518176044,-0.0
85000,-4.736393905611974,-1.3958521713904202,-0.0
85010,-4.7258250154078345,-1.4313739716096374,-0.0
85020,-4.714976596318554,-1.4668119541850144,-0.0
85030,-4.703849369995418,-1.5021637276373971,-0.0
85040,-4.692444081382933,-1.5374269075674671,-0.0
85050,-4.680761498636506,-1.5725991169234088,-0.0
85060,-4.668802413036475,-1.6076779862674282,-0.0
85070,-4.656567638898499,-1.6426611540410696,-0.0
85080,-4.644058013480341,-1.67754626682927,-0.0
85090,-4.631274396885057,-1.7123309796230999,-0.0
85100,-4.618217671960591,-1.7470129560811185,-0.0
85110,-4.604888744195861,-1.7815898687893121,-0.0
85120,-4.591288541613278,-1.8160593995195304,-0.0
85130,-4.577418014657786,-1.8504192394863852,-0.0
85140,-4.563278136082427,-1.8846670896025575,-0.0
85150,-4.548869900830451,-1.9188006607324386,-0.0
85160,-4.5341943259140045,-1.9528176739440697,-0.0
85170,-4.519252450289435,-1.986715860759325,-0.0
85180,-4.504045334729223,-2.0204929634022717,-0.0
85190,-4.488574061690601,-2.0541467350456726,-0.0
85200,-4.472839735180845,-2.0876749400555608,-0.0
85210,-4.456843480619322,-2.121075354233852,-0.0
85220,-4.440586444696298,-2.1543457650589333,-0.0
85230,-4.424069795228539,-2.1874839719241814,-0.0
85240,-4.407294721011751,-2.220487786374359,-0.0
85250,-4.390262431669902,-2.2533550323398477,-0.0
85260,-4.372974157501435,-2.2860835463686597,-0.0
85270,-4.355431149322443,-2.3186711778561864,-0.0
85280,-4.337634678306815,-2.351115789272635,-0.0
85290,-4.319586035823417,-2.383415256388113,-0.0
85300,-4.30128653327034,-2.415567468495308,-0.0
85310,-4.282737501906221,-2.447570328629715,-0.0
85320,-4.263940292678777,-2.479421753787396,-0.0
85330,-4.2448962760504525,-2.5111196751401783,-0.0
85340,-4.2256068418213415,-2.542662038248292,-0.0
85350,-4.206073398949397,-2.57404680327041,-0.0
85360,-4.186297375367917,-2.6052719451709927,-0.0
85370,-4.166280217800442,-2.636335453924982,-0.0
85380,-4.146023391573033,-2.667235334719722,-0.0
85390,-4.125528380424022,-2.6979696081541413,-0.0
85400,-4.10479668631126,-2.7285363104351004,-0.0
85410,-4.083829829216933,-2.758933493570921,-0.0
85420,-4.0626293469499535,-2.7891592255620083,-0.0
85430,-4.041196794946034,-2.819211590588593,-0.0
85440,-4.019533746065425,-2.8490886891954954,-0.0
85450,-3.9976417903884287,-2.878788638473929,-0.0
85460,-3.9755225350087033,-2.9083095722402965,-0.0
85470,-3.953177603824416,-2.9376496412119373,-0.0
85480,-3.930608637327292,-2.966807013179807,-0.0
85490,-3.907817292389635,-2.9957798731780683,-0.0
85500,-3.884805242049338,-3.02456642365055,-0.0
85510,-3.861574175292942,-3.0531648846140444,-0.0
85520,-3.838125796836843,-3.0815734938184587,-0.0
85530,-3.8144618269066184,-3.10979050690373,-0.0
85540,-3.790584001014605,-3.1378141975535416,-0.0
85550,-3.7664940697357245,-3.165642857645773,-0.0
85560,-3.7421937984816633,-3.1932747973997078,-0.0
85570,-3.7176849672733927,-3.220708345519916,-0.0
85580,-3.6929693705121682,-3.247941849336867,-0.0
85590,-3.668048816748983,-3.274973674944186,-0.0
85600,-3.6429251284525876,-3.3018022073325843,-0.0
85610,-3.617600141776109,-3.328425850520427,-0.0
85620,-3.592075706322311,-3.3548430276809142,-0.0
85630,-3.5663536849075843,-3.3810521812658867,-0.0
85640,-3.5404359533246876,-3.4070517731262173,-0.0
85650,-3.5143244001043388,-3.4328402846288024,-0.0
85660,-3.4880209262756487,-3.4584162167701074,-0.0
85670,-3.4615274451255282,-3.4837780902862936,-0.0
85680,-3.434845881957055,-3.508924445759881,-0.0
85690,-3.4079781738469155,-3.5338538437229805,-0.0
85700,-3.380926269401929,-3.55856486475704,-0.0
85710,-3.3536921285147505,-3.5830561095891493,-0.0
85720,-3.3262777221187796,-3.6073261991848486,-0.0
85730,-3.2986850319423415,-3.6313737748374737,-0.0
85740,-3.270916050262201,-3.655197498254024,-0.0
85750,-3.242972779656459,-3.6787960516375366,-0.0
85760,-3.214857232756898,-3.702168137766003,-0.0
85770,-3.1865714320008043,-3.7253124800677666,-0.0
85780,-3.158117409382363,-3.7482278226934738,-0.0
85790,-3.1294972062036366,-3.7709129305845135,-0.0
85800,-3.100712872825239,-3.7933665895380155,-0.0
85810,-3.0717664684166914,-3.815587606268343,-0.0
85820,-3.042660060706567,-3.837574808465128,-0.0
85830,-3.0133957257324684,-3.8593270448478565,-0.0
85840,-2.9839755475908682,-3.880843185216976,-0.0
85850,-2.9544016181868966,-3.9021221205015704,-0.0
85860,-2.9246760369841156,-3.9231627628035883,-0.0
85870,-2.8948009107543253,-3.9439640454386384,-0.0
85880,-2.8647783533274804,-3.9645249229733754,-0.0
85890,-2.834610485341737,-3.9848443712594617,-0.0
85900,-2.804299433993708,-4.004921387464139,-0.0
85910,-2.7738473327889714,-4.024754990097426,-0.0
85920,-2.743256321292876,-4.044344219035927,-0.0
85930,-2.7125285448816965,-4.06368813554329,-0.0
85940,-2.6816661544942106,-4.082785822287347,-0.0
85950,-2.650671306383711,-4.101636383353897,-0.0
85960,-2.619546161870529,-4.120238944257199,-0.0
85970,-2.588292887095119,-4.138592651947183,-0.0
85980,-2.556913652771738,-4.156696674813383,-0.0
85990,-2.5254106339427738,-4.174550202685617,-0.0
86000,-2.4937860097337827,-4.192152446831448,-0.0
86010,-2.4620419631092583,-4.209502639950423,-0.0
86020,-2.430180680629205,-4.226600036165135,-0.0
86030,-2.3982043522065535,-4.2434439110091295,-0.0
86040,-2.366115170865437,-4.260033561411636,-0.0
86050,-2.33391533250044,-4.276368305679238,-0.0
86060,-2.301607035636768,-4.292447483474384,-0.0
86070,-2.2691924811914848,-4.308270455790897,-0.0
86080,-2.236673872235782,-4.323836604926396,-0.0
86090,-2.2040534137583583,-4.339145334451733,-0.0
86100,-2.1713333124299563,-4.354196069177424,-0.0
86110,-2.1385157763690685,-4.368988255117133,-0.0
86120,-2.1056030149088865,-4.383521359448215,-0.0
86130,-2.0725972383655162,-4.397794870469386,-0.0
86140,-2.039500657807497,-4.411808297555476,-0.0
86150,-2.0063154848266733,-4.425561171109395,-0.0
86160,-1.9730439313104404,-4.439053042511228,-0.0
86170,-1.9396882092154322,-4.452283484064617,-0.0
86180,-1.9062505303426505,-4.465252088940348,-0.0
86190,-1.8727331061140986,-4.477958471117243,-0.0
86200,-1.8391381473509414,-4.490402265320358,-0.0
86210,-1.8054678640532384,-4.502583126956566,-0.0
86220,-1.7717244651812667,-4.514500732047477,-0.0
86230,-1.737910158438483,-4.526154777159813,-0.0
86240,-1.7040271500561535,-4.537544979333239,-0.0
86250,-1.6700776445796697,-4.54867107600565,-0.0
86260,-1.6360638446566063,-4.559532824936029,-0.0
86270,-1.6019879508265251,-4.570130004124816,-0.0
86280,-1.56785216131258,-4.580462411731932,-0.0
86290,-1.5336586718149225,-4.590529865992371,-0.0
86300,-1.4994096753059678,-4.600332205129521,-0.0
86310,-1.4651073618275279,-4.609869287266162,-0.0
86320,-1.4307539182898372,-4.619140990333203,-0.0
86330,-1.3963515282725132,-4.628147211976234,-0.0
86340,-1.361902371827458,-4.636887869459854,-0.0
86350,-1.327408625283743,-4.645362899569905,-0.0
86360,-1.2928724610544806,-4.653572258513561,-0.0
86370,-1.2582960474457305,-4.6615159218173865,-0.0
86380,-1.2236815484674326,-4.669193884223343,-0.0
86390,-1.1890311236464162,-4.676606159582833,-0.0
86400,-1.154346927841491,-4.683752780748778,-0.0
86410,-1.1196311110606396,-4.690633799465808,-0.0
86420,-1.0848858182803331,-4.697249286258559,-0.0
86430,-1.050113189266994,-4.70359933031817,-0.0
86440,-1.0153153584006112,-4.709684039386959,-0.0
86450,-0.9804944545005384,-4.715503539641394,-0.0
86460,-0.9456526006534773,-4.721057975573305,-0.0
86470,-0.9107919140436754,-4.726347509869472,-0.0
86480,-0.8759145057853412,-4.731372323289564,-0.0
86490,-0.8410224807572941,-4.736132614542475,-0.0
86500,-0.8061179374398708,-4.740628600161153,-0.0
86510,-0.7712029677540828,-4.7448605143758735,-0.0
86520,-0.7362796569030571,-4.74882860898609,-0.0
86530,-0.701350083215752,-4.752533153230818,-0.0
86540,-0.6664163179929736,-4.75597443365766,-0.0
86550,-0.6314804253556925,-4.759152753990467,-0.0
86560,-0.596544462095675,-4.7620684349957045,-0.0
86570,-0.5616104775284325,-4.76472181434754,-0.0
86580,-0.5266805133485014,-4.7671132464917125,-0.0
86590,-0.4917566034870555,-4.769243102508204,-0.0
86600,-0.45684077397186107,-4.771111769972781,-0.0
86610,-0.42193504278957605,-4.772719652817405,-0.0
